Date,Price Open,Last Price
1/4/99,#N/A N/A,18.2
1/5/99,#N/A N/A,29.69
1/6/99,#N/A N/A,25.17
1/7/99,#N/A N/A,32.52
1/8/99,#N/A N/A,33.23
1/11/99,#N/A N/A,36.84
1/12/99,#N/A N/A,37.57
1/13/99,#N/A N/A,39.74
1/14/99,#N/A N/A,39.14
1/15/99,#N/A N/A,38.67
1/18/99,#N/A N/A,38.54
1/19/99,#N/A N/A,38.79
1/20/99,#N/A N/A,35.55
1/21/99,#N/A N/A,36.92
1/22/99,#N/A N/A,39.94
1/25/99,#N/A N/A,40.7
1/26/99,#N/A N/A,42.75
1/27/99,#N/A N/A,41.76
1/28/99,#N/A N/A,39.15
1/29/99,#N/A N/A,37.61
2/1/99,#N/A N/A,37.03
2/2/99,#N/A N/A,38.61
2/3/99,#N/A N/A,39.96
2/4/99,#N/A N/A,38.79
2/5/99,#N/A N/A,37.81
2/8/99,#N/A N/A,38.77
2/9/99,#N/A N/A,39.55
2/10/99,#N/A N/A,40.3
2/11/99,#N/A N/A,37.83
2/12/99,#N/A N/A,36.06
2/15/99,#N/A N/A,37.67
2/16/99,#N/A N/A,36.01
2/17/99,#N/A N/A,36.69
2/18/99,#N/A N/A,35.56
2/19/99,#N/A N/A,33.91
2/22/99,#N/A N/A,32.09
2/23/99,#N/A N/A,31.26
2/24/99,#N/A N/A,30.78
2/25/99,#N/A N/A,31.78
2/26/99,#N/A N/A,30.8
3/1/99,#N/A N/A,32.46
3/2/99,#N/A N/A,32.03
3/3/99,#N/A N/A,31.93
3/4/99,#N/A N/A,30.88
3/5/99,#N/A N/A,29.26
3/8/99,#N/A N/A,29.86
3/9/99,#N/A N/A,28.96
3/10/99,#N/A N/A,27.95
3/11/99,#N/A N/A,27.06
3/12/99,#N/A N/A,26.98
3/15/99,#N/A N/A,27.77
3/16/99,#N/A N/A,27.49
3/17/99,#N/A N/A,28.16
3/18/99,#N/A N/A,28.17
3/19/99,#N/A N/A,26.99
3/22/99,#N/A N/A,27.14
3/23/99,#N/A N/A,28.84
3/24/99,#N/A N/A,29.9
3/25/99,#N/A N/A,28.05
3/26/99,#N/A N/A,28.57
3/29/99,#N/A N/A,27.32
3/30/99,#N/A N/A,27.23
