Date,Price Open,Last Price
3/6/06,#N/A N/A,71.73
3/15/06,#N/A N/A,15.71
3/16/06,#N/A N/A,27.94
3/17/06,#N/A N/A,28.6
3/20/06,#N/A N/A,37.93
3/21/06,#N/A N/A,37.35
4/11/06,#N/A N/A,69.55
4/24/06,#N/A N/A,63.42
4/25/06,#N/A N/A,61.33
5/1/06,#N/A N/A,61.96
5/22/06,#N/A N/A,91.76
5/23/06,#N/A N/A,88.66
5/24/06,#N/A N/A,88.63
5/25/06,#N/A N/A,82.64
5/26/06,#N/A N/A,72.5
5/30/06,#N/A N/A,82.14
5/31/06,#N/A N/A,77.44
6/1/06,#N/A N/A,74.08
6/2/06,#N/A N/A,70.27
6/5/06,#N/A N/A,77.38
6/6/06,#N/A N/A,78.66
6/7/06,#N/A N/A,73.86
6/8/06,#N/A N/A,78.12
6/9/06,#N/A N/A,79.87
6/12/06,#N/A N/A,83.52
6/13/06,#N/A N/A,93.2
6/14/06,#N/A N/A,102.11
6/15/06,#N/A N/A,99.13
6/16/06,#N/A N/A,106.93
6/19/06,#N/A N/A,102.56
6/20/06,#N/A N/A,94.76
6/21/06,#N/A N/A,92.4
6/22/06,#N/A N/A,91.85
6/23/06,#N/A N/A,86.81
6/26/06,#N/A N/A,90.71
6/27/06,#N/A N/A,95.12
6/28/06,#N/A N/A,96.44
6/29/06,#N/A N/A,96.63
6/30/06,#N/A N/A,92.1
7/3/06,#N/A N/A,89.13
7/5/06,#N/A N/A,91.98
7/6/06,#N/A N/A,92.88
7/7/06,#N/A N/A,91.46
7/10/06,#N/A N/A,93.52
7/11/06,#N/A N/A,91.99
7/24/06,#N/A N/A,99.61
7/25/06,#N/A N/A,94.97
7/26/06,#N/A N/A,89.23
7/27/06,#N/A N/A,95.29
7/28/06,#N/A N/A,93.16
7/31/06,#N/A N/A,92.79
8/1/06,#N/A N/A,92.67
8/2/06,#N/A N/A,91.34
8/3/06,#N/A N/A,89.24
8/4/06,#N/A N/A,90.68
8/7/06,#N/A N/A,89.58
8/8/06,#N/A N/A,88.09
8/16/06,#N/A N/A,57.01
8/21/06,#N/A N/A,80.68
8/22/06,#N/A N/A,78.75
8/23/06,#N/A N/A,81.15
8/24/06,#N/A N/A,79.7
8/25/06,#N/A N/A,81.94
8/28/06,#N/A N/A,79.47
8/29/06,#N/A N/A,81.8
8/30/06,#N/A N/A,80.77
8/31/06,#N/A N/A,79.84
9/1/06,#N/A N/A,77.19
9/5/06,#N/A N/A,80.18
9/6/06,#N/A N/A,82.96
9/7/06,#N/A N/A,86.18
9/8/06,#N/A N/A,83.7
9/11/06,#N/A N/A,85.78
9/12/06,#N/A N/A,80.99
9/13/06,#N/A N/A,81.55
9/14/06,#N/A N/A,81.93
9/15/06,#N/A N/A,59.52
9/18/06,#N/A N/A,80.97
9/19/06,#N/A N/A,81.77
9/20/06,#N/A N/A,80.83
9/21/06,#N/A N/A,85.95
9/22/06,#N/A N/A,85.74
9/25/06,#N/A N/A,82.01
9/26/06,#N/A N/A,81.59
9/27/06,#N/A N/A,81.08
9/28/06,#N/A N/A,84.74
9/29/06,#N/A N/A,84.31
10/2/06,#N/A N/A,85.46
10/3/06,#N/A N/A,86.57
10/4/06,#N/A N/A,82.5
10/5/06,#N/A N/A,87.5
10/6/06,#N/A N/A,85.63
10/9/06,#N/A N/A,84.76
10/10/06,#N/A N/A,83.62
10/11/06,#N/A N/A,88.4
10/12/06,#N/A N/A,86.87
10/13/06,#N/A N/A,86.61
10/16/06,#N/A N/A,82.29
10/17/06,#N/A N/A,66.99
10/18/06,#N/A N/A,79.1
10/19/06,#N/A N/A,77.71
10/20/06,#N/A N/A,78.6
10/23/06,#N/A N/A,84.73
10/24/06,#N/A N/A,87.39
10/25/06,#N/A N/A,85.9
10/26/06,#N/A N/A,81.6
10/27/06,#N/A N/A,82.71
10/30/06,#N/A N/A,80.16
10/31/06,#N/A N/A,76.4
11/1/06,#N/A N/A,78.89
11/2/06,#N/A N/A,77.08
11/3/06,#N/A N/A,75.19
11/6/06,#N/A N/A,70.46
11/7/06,#N/A N/A,67.5
11/8/06,#N/A N/A,62.08
11/9/06,#N/A N/A,60.42
11/10/06,#N/A N/A,61.06
11/13/06,#N/A N/A,36.14
11/14/06,#N/A N/A,60.77
11/15/06,#N/A N/A,58.58
11/16/06,#N/A N/A,62.48
11/17/06,#N/A N/A,64.3
11/20/06,#N/A N/A,65.98
11/21/06,#N/A N/A,65.3
11/22/06,#N/A N/A,63.62
11/24/06,#N/A N/A,66.48
