category,proxy,name,data_type,transformation
Commodities,BCOM_Index,Bloomberg Commodity Index,BBG,log_returns
Commodities,SPGSCI_Index,S&P GSCI Index,BBG,log_returns
Commodities,CL1_Comdty,WTI Crude Oil Front-Month,BBG,log_returns
Commodities,GC1_Comdty,Gold Front-Month Futures,BBG,log_returns
Commodities,HG1_Comdty,Copper Front-Month,BBG,log_returns
Commodities,CRY_Index,Refinitiv/CoreCommodity CRB Index,BBG,log_returns
Commodities,C1_Comdty,Corn Front-Month Futures,BBG,log_returns
Commodities,W1_Comdty,Wheat Front-Month Futures,BBG,log_returns
Credit,BAA,Moody's BAA Corporate Yield,FRED,first_differences
Credit,AAA,Moody's AAA Corporate Yield,FRED,first_differences
Credit,BAMLC0A0CM,ICE BofA US Corp IG OAS,FRED,first_differences
Credit,BAMLH0A0HYM2,ICE BofA US High Yield OAS,FRED,first_differences
Credit,CDXIG_Index,CDX Investment Grade Spread,BBG,first_differences
Credit,CDXHY_Index,CDX High Yield Spread,BBG,first_differences
Emerging Markets,MXEF_Index,MSCI Emerging Markets Index,BBG,log_returns
Emerging Markets,EEM_US,iShares MSCI EM ETF,BBG,log_returns
Emerging Markets,MXEFLC_Index,MSCI EM Local Currency Index,BBG,log_returns
Emerging Markets,JPEMBD_Index,JPM EMBI Global Sovereign Spread,BBG,first_differences
Emerging Markets,BDIY_Index,Baltic Dry Index,BBG,log_returns
Emerging Markets,JPEIFXGL,JP Morgan Emerging Market FX Index,BBG,log_returns
Equity,MXWO_Index,MSCI World (Net) Index,BBG,log_returns
Equity,ACWI_US,MSCI ACWI ETF,BBG,log_returns
Equity,MXWOU_Index,MSCI World (USD Price),BBG,log_returns
Equity,SXXP_Index,STOXX Europe 600 Index,BBG,log_returns
Equity,NKY_Index,Nikkei 225 Index,BBG,log_returns
Equity Short Volatility,SPX_RealizedVol,Realized Volatility of S&P 500 (constructed from SPX Index returns),BBG,log_returns
Equity Short Volatility,VIX_Index,CBOE S&P 500 Volatility Index,BBG,log_returns
Equity Short Volatility,VVIX_Index,CBOE VIX of VIX,BBG,log_returns
Equity Short Volatility,SKEW_Index,CBOE SKEW Index,BBG,log_returns
Fixed Income Carry,T10Y3M,10-Year Treasury Constant Maturity Minus 3-Month Treasury Bill,FRED,first_differences
Fixed Income Carry,T10Y2Y,10Y-2Y Treasury Spread,FRED,first_differences
Fixed Income Carry,DGS30_minus_DGS5,30Y-5Y Treasury Spread,FRED,first_differences
Fixed Income Carry,THREEFYTP10,Term Premium on a 10-Year Zero Coupon Bond,FRED,first_differences
Fixed Income Carry,TB3MS,3-Month Treasury Bill Secondary Market Rate,FRED,first_differences
Foreign Currency,DXY_Curncy,U.S. Dollar Index (DXY),BBG,log_returns
Foreign Currency,DTWEXBGS,Trade-Weighted Broad Dollar Index,FRED,log_returns
Foreign Currency,JPMB_Index,JPM Broad USD Index,BBG,log_returns
Foreign Currency,EURUSD_Curncy,Euro / US Dollar,BBG,log_returns
